DS,Y
2023-04-27T06:20:47.146134,10
2023-04-27T06:35:50.874363,10
2023-04-27T06:50:54.740076,14
2023-04-27T07:05:58.652176,10
2023-04-27T07:21:02.40095,10
2023-04-27T07:36:07.15301,25
2023-04-27T07:51:11.782289,28
2023-04-27T08:06:16.114579,32
2023-04-27T08:21:20.409808,28
2023-04-27T08:36:24.381883,32
2023-04-27T08:51:28.471674,35
2023-04-27T09:06:33.155488,32
2023-04-27T09:21:37.652696,32
2023-04-27T09:36:41.940465,32
2023-04-27T09:51:45.817268,32
2023-04-27T10:06:49.955559,32
2023-04-27T10:21:54.239572,28
2023-04-27T10:36:58.045035,32
2023-04-27T10:52:02.142162,32
2023-04-27T11:07:06.744086,35
2023-04-27T11:22:10.973542,35
2023-04-27T11:37:18.214664,35
2023-04-27T11:52:22.169788,39
2023-04-27T12:07:25.978794,39
2023-04-27T12:22:29.884902,42
2023-04-27T12:34:22.431664,32
2023-04-27T12:37:33.826017,32
2023-04-27T12:52:37.668208,32
2023-04-27T13:07:41.868033,35
2023-04-27T13:22:45.833275,35
2023-04-27T13:37:49.687882,32
2023-04-27T13:52:54.560282,28
2023-04-27T14:07:59.200347,28
2023-04-27T14:23:03.441843,32
2023-04-27T14:38:07.30426,35
2023-04-27T14:53:11.180903,35
2023-04-27T15:08:17.256311,35
2023-04-27T15:23:21.0643,35
2023-04-27T15:38:24.730416,39
2023-04-27T15:53:28.520037,39
2023-04-27T16:08:32.635104,35
2023-04-27T16:23:36.193073,35
2023-04-27T16:38:40.197711,35
2023-04-27T16:53:44.260157,39
2023-04-27T17:08:47.951344,39
2023-04-27T17:23:51.87432,39
2023-04-27T17:38:55.536584,39
2023-04-27T17:53:59.401302,39
2023-04-27T18:09:03.49709,39
2023-04-27T18:24:07.10138,39
2023-04-27T18:39:11.447924,39
2023-04-27T18:54:15.694291,39
2023-04-27T19:09:18.771504,39
2023-04-27T19:24:22.185768,39
2023-04-27T19:39:25.813767,39
2023-04-27T19:54:29.923058,39
2023-04-27T20:09:34.263745,39
2023-04-27T20:24:38.143661,39
2023-04-27T20:39:42.256528,39
2023-04-27T20:54:46.072461,39
2023-04-27T21:09:49.686458,39
2023-04-27T21:24:53.40775,39
2023-04-27T21:39:57.352409,39
2023-04-27T21:55:01.189304,39
2023-04-27T22:10:05.047761,39
2023-04-27T22:25:08.749478,39
2023-04-27T22:40:12.855756,39
2023-04-27T22:55:17.024321,39
2023-04-27T23:10:20.863356,39
2023-04-27T23:25:24.583289,39
2023-04-27T23:40:28.389451,39
2023-04-27T23:55:32.221055,39
2023-04-28T00:10:35.91835,0
2023-04-28T00:25:39.565982,0
2023-04-28T00:40:43.418842,0
2023-04-28T00:55:47.082973,0
2023-04-28T01:10:50.819298,0
2023-04-28T01:25:54.407,0
2023-04-28T01:40:58.090594,0
2023-04-28T01:56:02.124581,0
2023-04-28T02:11:05.724912,0
2023-04-28T02:26:09.514888,0
2023-04-28T02:41:14.074241,0
2023-04-28T02:56:17.94112,0
2023-04-28T03:11:21.61922,0
2023-04-28T03:26:25.163491,0
2023-04-28T03:41:29.356216,0
2023-04-28T03:56:33.116554,0
2023-04-28T04:11:36.886801,0
2023-04-28T04:26:40.893688,0
2023-04-28T04:41:44.75468,0
2023-04-28T04:56:48.382707,0
2023-04-28T05:11:52.161564,0
2023-04-28T05:26:55.769617,0
2023-04-28T05:41:59.636234,0
2023-04-28T05:57:03.460698,0
2023-04-28T06:12:07.132329,0
2023-04-28T06:27:10.826354,3
2023-04-28T06:42:15.624738,3
2023-04-28T06:57:19.537127,3
2023-04-28T07:12:23.39583,7
2023-04-28T07:27:27.313946,7
2023-04-28T07:42:31.180961,10
2023-04-28T07:57:35.56855,14
2023-04-28T08:12:39.430382,17
2023-04-28T08:27:43.925726,21
2023-04-28T08:42:47.860682,21
2023-04-28T08:57:51.636746,17
2023-04-28T09:12:56.974935,17
2023-04-28T09:28:00.860493,17
2023-04-28T09:43:04.687173,17
2023-04-28T09:58:08.799603,14
2023-04-28T10:13:14.151503,14
2023-04-28T10:28:18.434155,14
2023-04-28T10:43:22.302247,14
2023-04-28T10:58:26.35627,14
2023-04-28T11:13:30.088625,14
2023-04-28T11:28:33.805697,3
2023-04-28T11:43:37.64015,3
2023-04-28T11:58:42.738698,3
2023-04-28T12:13:46.822696,3
2023-04-28T12:28:50.477286,3
2023-04-28T12:43:54.124262,3
2023-04-28T12:58:57.867531,7
2023-04-28T13:14:01.775493,7
2023-04-28T13:29:05.630986,0
2023-04-28T13:44:09.732357,10
2023-04-28T13:59:14.152395,10
2023-04-28T14:14:18.437705,10
2023-04-28T14:29:22.295403,10
2023-04-28T14:44:26.273597,10
2023-04-28T14:59:30.09211,10
2023-04-28T15:14:33.966979,10
2023-04-28T15:29:37.760607,10
2023-04-28T15:44:41.392224,7
2023-04-28T15:59:45.256353,7
2023-04-28T16:14:49.042958,7
2023-04-28T16:29:52.905639,7
2023-04-28T16:44:56.565439,3
2023-04-28T17:00:00.295964,3
2023-04-28T17:15:04.424316,7
2023-04-28T17:30:08.182073,3
2023-04-28T17:45:12.925047,3
2023-04-28T18:00:16.730178,3
